time,NUM_EP,L1,L2,BATCH_SIZE,MEM_SIZE,MIN_EXP_SIZE,season,case,idx,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort
2021-06-06T23:36:10.142,10001,400,300,120,24000,24000,summer,summer_no-L2_norm-ns_abort,10001,7.916100894,0.0,0.0,0.0,55.7512183,-7.916100894,0.0
2021-06-06T20:37:12.388,10001,400,300,120,24000,24000,summer,summer_no-L2_decr-ns_abort,4501,0.0,0.0,0.0,0.0,61.6857064,0.0,0.0
2021-06-06T20:37:10.077,10001,400,300,120,24000,24000,summer,summer_no-L2_decr-ns_abort,10001,0.0,0.0,0.0,0.0,57.34843234,0.0,0.0
2021-06-06T20:26:09.863,10001,300,600,120,24000,24000,winter,winter_no-L2_decr-ns_abort,5301,4.323527748,3.430789869,0.0,0.0,-73.60100477,-7.754317617,0.0
2021-06-06T20:26:07.747,10001,300,600,120,24000,24000,winter,winter_no-L2_decr-ns_abort,10001,14.81752093,21.42144969,0.0,0.0,-103.4326562,-36.23897062,0.0
2021-06-06T20:25:05.619,10001,300,600,120,24000,24000,summer,summer_no-L2_decr-ns_abort,9401,0.0,0.0,0.0,0.0,65.46740268,0.0,0.0
2021-06-06T20:25:03.673,10001,300,600,120,24000,24000,summer,summer_no-L2_decr-ns_abort,10001,0.0,0.0,0.0,0.0,62.64226662,0.0,0.0
2021-06-06T20:13:57.632,10001,400,300,120,24000,24000,winter,winter_no-L2_decr-ns_abort,6801,0.318225485,0.483123196,0.0,0.0,-78.18391623,-0.801348681,0.0
2021-06-06T20:13:55.613,10001,400,300,120,24000,24000,winter,winter_no-L2_decr-ns_abort,10001,0.894450718,7.56626363,0.0,0.0,-81.564291,-8.460714348,0.0
2021-06-06T14:10:22.733,10001,300,600,120,24000,24000,summer,summer_no-L2_ns_abort,9401,0.0,0.0,0.0,0.0,65.46740268,0.0,0.0
2021-06-06T14:10:20.696,10001,300,600,120,24000,24000,summer,summer_no-L2_ns_abort,10001,0.0,0.0,0.0,0.0,62.64226662,0.0,0.0
2021-06-06T14:09:47.667,10001,300,600,120,24000,24000,winter,winter_no-L2_ns_abort,5301,4.323527748,3.430789869,0.0,0.0,-73.60100477,-7.754317617,0.0
2021-06-06T14:09:45.688,10001,300,600,120,24000,24000,winter,winter_no-L2_ns_abort,10001,14.81752093,21.42144969,0.0,0.0,-103.4326562,-36.23897062,0.0
2021-06-06T14:08:44.583,10001,400,300,120,24000,24000,summer,summer_no-L2_ns_abort,5001,0.0,0.0,0.0,0.0,60.77823939,0.0,0.0
2021-06-06T14:08:42.523,10001,400,300,120,24000,24000,summer,summer_no-L2_ns_abort,10001,0.0,0.0,0.0,0.0,59.50646899,0.0,0.0
2021-06-06T13:57:20.77,10001,400,300,120,24000,24000,winter,winter_no-L2_ns_abort,6801,0.318225485,0.483123196,0.0,0.0,-78.18391623,-0.801348681,0.0
2021-06-06T13:57:18.919,10001,400,300,120,24000,24000,winter,winter_no-L2_ns_abort,10001,0.894450718,7.56626363,0.0,0.0,-81.564291,-8.460714348,0.0
2021-06-10T17:34:54.983,10001,400,300,120,24000,24000,winter,winter_no-L2_nns_abort_tsoc,10001,17.07357086961174,0.0,108.92408298300816,0.0,-121.22068632797763,-125.9976538526199,0.0
2021-06-10T17:34:57.487,10001,400,300,120,24000,24000,winter,winter_no-L2_nns_abort_tsoc,6301,0.0,13.294368581473822,0.0,0.0,-10.891370455876016,-13.294368581473822,0.0
2021-06-10T17:39:59.767,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_tsoc,10001,5.389484647180762,103.19529911110345,28.276129737126467,11.36757392637818,-219.87375420486936,-148.22848742178886,0.0
2021-06-10T17:40:02.372,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_tsoc,9201,9.53882516544542,12.05935376156651,9.994376777478834,27.711942738727366,-97.34206434223566,-59.30449844321813,0.0
2021-06-10T17:51:46.034,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_tsoc,10001,0.0,0.0,33.41690356711209,0.0,-23.322233046790164,-33.41690356711209,0.0
2021-06-10T17:51:48.77,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_tsoc,6501,0.0,0.0,0.0,0.0,64.97305835661291,0.0,0.0
2021-06-10T17:59:31.737,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_tsoc,10001,0.0,0.0,0.0,0.0,65.3431162196481,0.0,0.0
2021-06-10T17:59:34.488,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_tsoc,9901,0.0,0.0,0.0,0.0,65.13482075932761,0.0,0.0
